Idx	Name	Label	Perc_missing	QC_RSD
124	M124	Xylose	3.57142857142857	32.8239916206851
125	M125	cis-Aconitate	0	65.0633788090127
126	M126	trans-Aconitate	2.85714285714286	3.81350478775125
128	M128	u075	8.57142857142857	44.0696963819491
129	M129	u11	0	4.34862912988896
130	M130	u1125	7.14285714285714	5.35937655592283
131	M131	u122	0	30.8954752175726
132	M132	u122triplet	0	29.1847501328026
133	M133	u14	0	21.0529057491723
134	M134	u144	1.42857142857143	15.5364012150061
135	M135	u14doublet	0	26.4239750854944
137	M137	u217	2.85714285714286	5.00522096920462
138	M138	u233	0.714285714285714	4.73533373690427
139	M139	u361	10	47.939803075837
140	M140	u362	3.57142857142857	30.03372730968
141	M141	u380large	1.42857142857143	41.5719603680763
142	M142	u43	0.714285714285714	7.15116605857213
143	M143	u433	1.42857142857143	24.8261437338676
